project_id,status,year_comp,area_ha,proj_name,proj_part,street_num,street_name,street_type,add_misc,suburb,detached,townhouses,apartments,unknown,att_1s,att_2_3s,att_4s,total_dwel,max_storeys,lga,region,file_year,x_id,identifier,w_id,group_id,isec_area_ha,flag,isec_pct,notes
R022,Completed,2004,1.22,NA,None,"77, 105, 111",Mountain,Highway,NA,WANTIRNA,20,NA,NA,0,0,0,0,20,NA,Knox,East,2004,2,"77, 105, 111 mountain",2,7,1.055213101,discard,86.63875503,
R05467,Completed,2005,2.25,NA,None,"77, 105, 111",Mountain,Highway,NA,Wantirna,0,NA,NA,0,60,20,0,80,NA,Knox,East,2006,346,"77, 105, 111 mountain",247,7,1.055213101,keep,46.93698435,"Google Earth checked, single project; closer to 80 dwellings than 20"
R00460,Completed,2005,0.07,Former Bonello Motors site,None,459,Macauley,Road,NA,Kensington,0,NA,NA,0,0,0,33,33,NA,Melbourne,Inner,2006,366,459 macauley,267,10,0.035893414,keep,50.17051114,
R00511,Completed,2007,0.14,Macaulay Road,None,461-469,Macaulay,Road,NA,Kensington,0,NA,NA,0,0,40,0,40,NA,Melbourne,Inner,2007,480,461-469 macaulay,381,10,0.035893414,keep,24.85963616,"Diff addresses, small overlaps"
R00711,Completed,2006,0.03,NA,None,408-426,Lygon,Street,NA,Brunswick East,0,NA,NA,0,0,0,64,64,NA,Moreland,North,2006,383,408-426 lygon,284,11,0.031045006,keep,99.49582693,
R00543,Completed,2007,0.22,Former Burlon Hosiery site,None,408-426,Lygon,Street,NA,Brunswick East,0,NA,NA,0,0,0,59,59,NA,Moreland,North,2007,484,408-426 lygon,385,11,0.031045006,keep,14.21354861,"Imagery checked, single project"
R00135,Completed,2004,0.26,Wills Tower,None,22-30,Wills,Street,NA,Melbourne,0,NA,NA,0,0,0,138,138,NA,Melbourne,Inner,2005,222,22-30 wills,123,13,0.000176399,keep,0.068660792,
R07856,Completed,2008,0,WILLS STREET development,NA,22-30,Wills,Street,NA,Melbourne,0,NA,NA,0,0,0,138,138,NA,Melbourne,Inner,2008,547,22-30 wills,448,13,0.000176399,discard,100,See group 14
R00135,Completed,2004,0.26,Wills Tower,None,22-30,Wills,Street,NA,Melbourne,0,NA,NA,0,0,0,138,138,NA,Melbourne,Inner,2005,222,22-30 wills,123,14,0.000175909,keep,0.068470189,
R07857,Completed,2008,0,WILLS STREET development,NA,22-30,Wills,Street,NA,Melbourne,0,NA,NA,0,0,0,138,138,NA,Melbourne,Inner,2008,548,22-30 wills,449,14,0.000175909,discard,100,"For both groups 13 and 14 - Google Earth checked, single project; R00135 kept for both 13 and 14"
